DATE,PCEPI_PC1
2000/1/1,2.56233
2000/4/1,2.4684
2000/7/1,2.56446
2000/10/1,2.52164
2001/1/1,2.44925
2001/4/1,2.44063
2001/7/1,1.83642
2001/10/1,1.30514
2002/1/1,0.76245
2002/4/1,1.03695
2002/7/1,1.50909
2002/10/1,1.94042
2003/1/1,2.51352
2003/4/1,1.86143
2003/7/1,2.00334
2003/10/1,2.0297
2004/1/1,2.03585
2004/4/1,2.61924
2004/7/1,2.44955
2004/10/1,2.81951
2005/1/1,2.62657
2005/4/1,2.58406
2005/7/1,3.18403
2005/10/1,3.12423
2006/1/1,3.06073
2006/4/1,3.31244
2006/7/1,2.94489
2006/10/1,1.96252
2007/1/1,2.36275
2007/4/1,2.33398
2007/7/1,2.17711
2007/10/1,3.38698
2008/1/1,3.28377
2008/4/1,3.412
2008/7/1,3.92749
2008/10/1,1.23897
2009/1/1,-0.25663
2009/4/1,-0.826
2009/7/1,-1.19659
2009/10/1,1.18122
2010/1/1,2.26344
2010/4/1,2.016
2010/7/1,1.51332
2010/10/1,1.38071
2011/1/1,1.8391
2011/4/1,2.68094
2011/7/1,2.9568
2011/10/1,2.64007
2012/1/1,2.4592
2012/4/1,1.7071
2012/7/1,1.53352
2012/10/1,1.76714
2013/1/1,1.46114
2013/4/1,1.2889
2013/7/1,1.40576
2013/10/1,1.26143
2014/1/1,1.38398
2014/4/1,1.81871
2014/7/1,1.69375
2014/10/1,1.15412
2015/1/1,0.25101
2015/4/1,0.23518
2015/7/1,0.19446
2015/10/1,0.20989
2016/1/1,0.68165
2016/4/1,0.82509
2016/7/1,0.95915
2016/10/1,1.53777
2017/1/1,2.084
2017/4/1,1.69821
2017/7/1,1.68579
2017/10/1,1.85107
2018/1/1,1.98237
2018/4/1,2.27722
2018/7/1,2.27086
2018/10/1,2.00685
2019/1/1,1.48777
2019/4/1,1.56334
2019/7/1,1.46657
2019/10/1,1.45128
2020/1/1,1.60945
2020/4/1,0.53554
2020/7/1,1.10855
2020/10/1,1.15672
2021/1/1,1.90423
2021/4/1,3.97753
2021/7/1,4.53223
2021/10/1,5.68049
2022/1/1,6.42498
2022/4/1,6.63542
2022/7/1,6.31117
